"Type","Name","Request Count","Failure Count","Median Response Time","Average Response Time","Min Response Time","Max Response Time","Average Content Size","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%"
"GET","查看影响力榜单",7690,570,180,1902,15,90660,4992,0.79,0.06,180,300,450,600,1000,8600,30000,31000,60000,91000,91000,91000
"GET","查看活动列表数据",7792,200,510,799,8,60877,24962,0.80,0.02,510,630,790,910,1200,1500,2000,3000,60000,61000,61000,61000
"GET","查看活动详情数据成功",7728,82,86,874,6,90375,1374,0.79,0.01,86,110,180,210,310,860,30000,30000,60000,90000,90000,90000
"GET","查看直播稿件详情",7712,60,120,1342,2,91321,3098,0.79,0.01,120,150,230,250,520,1100,30000,30000,60000,91000,91000,91000
"GET","查看视频稿件详情",7468,47,87,321,8,63634,3590,0.76,0.00,87,110,190,210,290,740,1100,1400,60000,64000,64000,64000
"GET","查看链接稿件详情",7340,38,100,318,8,60717,4614,0.75,0.00,100,140,210,230,310,630,980,1400,60000,61000,61000,61000
"POST","活动报名",7592,98,77,291,10,60512,53,0.78,0.01,77,100,180,200,270,660,980,1300,60000,61000,61000,61000
"POST","福建号打榜",7617,193,90,1738,8,61029,55,0.78,0.02,90,200,290,420,830,2300,30000,31000,61000,61000,61000,61000
"POST","福建号订阅",7709,212,94,1812,6,60944,69,0.79,0.02,94,200,290,430,810,11000,30000,31000,60000,61000,61000,61000
"POST","稿内投票",7774,179,110,1202,8,60756,48,0.79,0.02,110,200,290,420,800,1300,30000,30000,60000,61000,61000,61000
"POST","账号登录",7693,2,210,225,3,2939,693,0.79,0.00,210,230,240,250,290,360,590,990,1700,2900,2900,2900
"None","Aggregated",84115,1681,140,989,2,91321,3984,8.59,0.17,140,220,290,400,740,1100,30000,30000,60000,61000,91000,91000
