"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592202906","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592202909","52","","Aggregated",0.00,0.00,730,780,880,1000,1100,1100,1100,1100,1100,1100,1100,1100,18,0,650,740,384,1093,3849
"1592202911","92","","Aggregated",5.33,0.00,700,760,820,840,1000,1100,1100,1100,1100,1100,1100,1100,54,0,690,722,384,1114,4476
"1592202913","133","","Aggregated",8.50,0.00,670,720,750,800,880,1000,1100,1100,1100,1100,1100,1100,78,0,660,690,384,1114,3650
"1592202915","159","","Aggregated",11.14,0.00,720,850,960,1000,1100,1300,1600,1800,2500,2500,2500,2500,122,0,720,806,130,2501,3949
"1592202917","199","","Aggregated",12.00,0.00,720,850,960,1000,1100,1300,1600,1800,2500,2500,2500,2500,140,0,720,793,130,2501,3681
"1592202919","200","","Aggregated",13.20,0.00,760,920,1000,1100,1300,1500,1700,2500,2600,2600,2600,2600,191,0,730,803,53,2578,3351
"1592202921","200","","Aggregated",17.50,0.00,830,970,1100,1100,1400,1500,1800,2500,2600,2600,2600,2600,202,0,720,768,50,2578,3371
"1592202923","200","","Aggregated",15.20,0.00,760,920,1000,1100,1300,1500,1700,1700,2600,2600,2600,2600,211,0,700,740,50,2578,3289
"1592202925","200","","Aggregated",13.10,0.00,450,760,920,1000,1300,1400,1700,2600,2600,2600,2600,2600,223,0,690,709,50,2578,3200
"1592202927","200","","Aggregated",12.00,0.00,140,310,450,510,810,880,1200,1700,1700,1700,1700,1700,238,0,670,681,50,2578,3334
"1592202929","200","","Aggregated",9.70,0.00,110,140,200,210,340,520,880,900,900,900,900,900,253,0,650,650,50,2578,3189
"1592202931","200","","Aggregated",7.80,0.00,110,190,230,250,510,520,880,900,900,900,900,900,270,0,640,623,48,2578,3353
"1592202933","200","","Aggregated",6.60,0.00,110,210,290,330,670,880,970,1000,1000,1000,1000,1000,287,0,630,608,48,2578,3321
"1592202935","200","","Aggregated",7.80,0.00,120,270,480,520,810,970,1100,1400,1400,1400,1400,1400,302,0,620,602,48,2578,3225
"1592202937","200","","Aggregated",7.40,0.00,110,250,310,490,780,850,1100,1400,1400,1400,1400,1400,323,0,590,571,45,2578,3211
"1592202939","200","","Aggregated",8.50,0.00,110,230,490,510,810,970,1400,2000,2000,2000,2000,2000,345,0,560,553,45,2578,3525
"1592202941","200","","Aggregated",8.90,0.00,110,150,250,290,510,830,2000,2900,2900,2900,2900,2900,372,0,500,530,45,2857,3522
"1592202943","200","","Aggregated",9.90,0.00,110,150,250,280,510,780,1400,2000,2900,2900,2900,2900,404,0,450,499,43,2857,3510
"1592202945","200","","Aggregated",11.30,0.00,96,140,230,250,320,510,540,2000,2900,2900,2900,2900,422,0,340,484,43,2857,3505
"1592202947","200","","Aggregated",11.80,0.00,99,150,220,230,320,510,2000,2900,2900,2900,2900,2900,430,0,320,478,43,2857,3492
"1592202949","200","","Aggregated",10.70,0.00,110,180,230,250,370,630,920,1500,1500,1500,1500,1500,450,0,310,473,43,2857,3457
"1592202951","200","","Aggregated",10.60,0.00,120,180,230,240,440,690,920,1500,1500,1500,1500,1500,465,1,290,463,37,2857,3398
"1592202953","200","","Aggregated",9.30,0.10,120,190,230,250,440,700,920,1500,1500,1500,1500,1500,487,1,260,449,37,2857,3380
"1592202955","200","","Aggregated",8.90,0.10,120,190,230,250,410,690,920,1500,1500,1500,1500,1500,506,1,250,437,37,2857,3346
"1592202957","200","","Aggregated",8.90,0.10,120,180,220,240,300,380,530,770,770,770,770,770,533,1,230,424,37,2857,3305
"1592202959","200","","Aggregated",9.60,0.10,140,210,260,300,530,720,1000,1500,1500,1500,1500,1500,550,1,240,426,37,2857,3241
"1592202961","200","","Aggregated",9.10,0.10,140,210,250,300,480,710,1000,1500,1500,1500,1500,1500,567,1,230,419,37,2857,3211
"1592202963","200","","Aggregated",10.00,0.00,180,250,300,320,650,960,1200,1500,1500,1500,1500,1500,586,1,230,417,37,2857,3293
